id;legal_id;tscid;corporate_name;market_company;market_area
1;Assistant;Generic heuristic;program orchid Investment Account;false;Rustic Team-oriented firmware
2;empower Auto Loan Account Music;Principal sky blue;generate Hong Kong alarm;false;Tennessee relationships Ball
3;full-range;Pa'anga Directives Direct;Villages fuchsia Administrator;false;Uzbekistan Sum
4;artificial intelligence;bypass Awesome Steel Tuna Spurs;Specialist copying;false;multi-byte
5;deposit transmit violet;Licensed;Kids;true;Algerian Dinar
6;Accounts Falkland Islands Pound;calculate initiatives Electronics;Cheese benchmark quantifying;true;Tuna
7;Pine COM Rhode Island;Handcrafted Auto Loan Account;Rustic white;true;Refined Hat Hat
8;Central African Republic Georgia;Robust ivory Ports;Future;false;generating Kenya Handcrafted
9;Architect Shirt Liaison;overriding Rustic Cotton Table;approach maroon Branding;false;Central transmitting
10;Designer;Ball invoice;Savings Account;true;high-level fuchsia
